date,open,high,low,close,volume
"2020-06-08, 08:00:00",1.810,1.840,1.797,1.827,1311061.4
"2020-06-09, 08:00:00",1.828,1.840,1.795,1.807,1883960.7
"2020-06-10, 08:00:00",1.805,1.879,1.803,1.865,2675358.2
"2020-06-11, 08:00:00",1.866,1.947,1.650,1.688,4778781.4
"2020-06-12, 08:00:00",1.689,1.788,1.666,1.746,1245701.7
"2020-06-13, 08:00:00",1.746,1.784,1.708,1.780,1124718.7
"2020-06-14, 08:00:00",1.780,1.782,1.701,1.721,1015508.2
"2020-06-15, 08:00:00",1.722,1.722,1.561,1.674,2730249.1
"2020-06-16, 08:00:00",1.674,1.742,1.654,1.734,1770309.6
"2020-06-17, 08:00:00",1.734,1.736,1.656,1.709,1034932.3
"2020-06-18, 08:00:00",1.707,1.717,1.649,1.681,979661.0
"2020-06-19, 08:00:00",1.682,1.692,1.638,1.674,1565261.2
"2020-06-20, 08:00:00",1.676,1.684,1.627,1.681,940414.9
"2020-06-21, 08:00:00",1.681,1.787,1.652,1.729,3802421.4
"2020-06-22, 08:00:00",1.729,1.842,1.724,1.841,4378309.1
"2020-06-23, 08:00:00",1.841,1.851,1.774,1.798,2541506.8
"2020-06-24, 08:00:00",1.796,1.840,1.692,1.736,1927722.1
"2020-06-25, 08:00:00",1.735,1.740,1.659,1.720,1089116.5
"2020-06-26, 08:00:00",1.720,1.738,1.657,1.679,1346476.8
"2020-06-27, 08:00:00",1.679,1.721,1.514,1.578,2142445.0
"2020-06-28, 08:00:00",1.578,1.652,1.541,1.616,1226081.1
"2020-06-29, 08:00:00",1.615,1.691,1.593,1.672,1628256.7
"2020-06-30, 08:00:00",1.672,1.680,1.623,1.642,803892.9
"2020-07-01, 08:00:00",1.643,1.683,1.614,1.659,1072477.7
"2020-07-02, 08:00:00",1.658,1.693,1.598,1.649,2668056.4
"2020-07-03, 08:00:00",1.648,1.678,1.624,1.635,1348185.0
"2020-07-04, 08:00:00",1.634,1.699,1.630,1.696,1476859.2
"2020-07-05, 08:00:00",1.696,1.788,1.648,1.779,2176604.9
"2020-07-06, 08:00:00",1.777,1.833,1.750,1.824,2459698.5
"2020-07-07, 08:00:00",1.824,1.836,1.746,1.810,1942450.0
"2020-07-08, 08:00:00",1.811,2.104,1.784,2.023,7038723.4
"2020-07-09, 08:00:00",2.024,2.175,1.933,2.133,8879960.6
"2020-07-10, 08:00:00",2.133,2.141,1.951,2.040,6201903.7
"2020-07-11, 08:00:00",2.041,2.100,2.004,2.081,4101536.5
"2020-07-12, 08:00:00",2.084,2.112,1.964,2.050,2977693.5
"2020-07-13, 08:00:00",2.049,2.264,2.033,2.210,7235081.7
"2020-07-14, 08:00:00",2.211,2.390,2.112,2.348,10651210.7
"2020-07-15, 08:00:00",2.348,2.477,2.279,2.295,8356642.7
"2020-07-16, 08:00:00",2.295,2.340,2.115,2.305,7085451.8
"2020-07-17, 08:00:00",2.307,2.419,2.269,2.392,6711101.9
"2020-07-18, 08:00:00",2.394,2.416,2.310,2.366,4712296.3
"2020-07-19, 08:00:00",2.368,2.385,2.292,2.348,3229500.5
"2020-07-20, 08:00:00",2.348,2.350,2.207,2.221,3110545.9
"2020-07-21, 08:00:00",2.220,2.362,2.177,2.354,4156091.1
"2020-07-22, 08:00:00",2.353,2.409,2.278,2.375,3086267.2
"2020-07-23, 08:00:00",2.378,2.404,2.334,2.362,3586799.8
"2020-07-24, 08:00:00",2.362,2.364,2.287,2.293,2289011.3
"2020-07-25, 08:00:00",2.293,2.437,2.291,2.411,3832675.9
"2020-07-26, 08:00:00",2.413,2.491,2.300,2.361,5601547.3
"2020-07-27, 08:00:00",2.360,2.374,2.204,2.323,6166566.9
"2020-07-28, 08:00:00",2.324,2.401,2.256,2.379,3914383.6
"2020-07-29, 08:00:00",2.378,2.453,2.343,2.354,3234277.8
"2020-07-30, 08:00:00",2.353,2.413,2.321,2.375,2265049.9
"2020-07-31, 08:00:00",2.375,2.444,2.347,2.424,2053129.0
"2020-08-01, 08:00:00",2.423,2.670,2.399,2.658,5133111.5
"2020-08-02, 08:00:00",2.656,2.731,2.230,2.407,8599644.1
"2020-08-03, 08:00:00",2.407,2.704,2.377,2.626,6932823.8
"2020-08-04, 08:00:00",2.626,2.919,2.625,2.851,8275973.2
"2020-08-05, 08:00:00",2.852,2.893,2.736,2.776,3692599.4
"2020-08-06, 08:00:00",2.777,2.837,2.664,2.766,4863216.1
"2020-08-07, 08:00:00",2.766,2.791,2.514,2.647,4500615.1
"2020-08-08, 08:00:00",2.647,2.765,2.614,2.760,2035924.4
"2020-08-09, 08:00:00",2.759,2.787,2.633,2.723,2501647.6
"2020-08-10, 08:00:00",2.723,3.007,2.708,2.933,6214647.2
"2020-08-11, 08:00:00",2.934,2.980,2.602,2.729,4999793.1
"2020-08-12, 08:00:00",2.730,2.817,2.587,2.802,3759401.7
"2020-08-13, 08:00:00",2.800,2.886,2.634,2.866,4807904.8
"2020-08-14, 08:00:00",2.864,3.195,2.788,3.105,11511064.7
"2020-08-15, 08:00:00",3.103,3.228,3.026,3.098,5688431.8
"2020-08-16, 08:00:00",3.101,3.444,2.968,3.346,5989307.8
"2020-08-17, 08:00:00",3.347,3.589,3.272,3.420,7763430.7
"2020-08-18, 08:00:00",3.422,3.612,3.200,3.299,5667993.0
"2020-08-19, 08:00:00",3.298,3.500,3.021,3.301,8355349.0
"2020-08-20, 08:00:00",3.302,4.165,3.296,4.083,15851486.6
"2020-08-21, 08:00:00",4.083,5.517,3.756,3.778,34683586.0
"2020-08-22, 08:00:00",3.778,4.330,3.430,4.167,11173234.2
"2020-08-23, 08:00:00",4.167,4.324,3.832,3.996,6084846.5
"2020-08-24, 08:00:00",3.997,4.181,3.763,3.826,5947462.7
"2020-08-25, 08:00:00",3.827,3.882,3.339,3.490,10549021.7
"2020-08-26, 08:00:00",3.491,4.012,3.437,3.787,8771471.3
"2020-08-27, 08:00:00",3.789,3.879,3.210,3.373,8155712.9
"2020-08-28, 08:00:00",3.372,3.474,3.294,3.345,4365200.3
"2020-08-29, 08:00:00",3.347,3.532,3.222,3.436,5874294.4
"2020-08-30, 08:00:00",3.434,3.679,3.395,3.456,5466056.1
"2020-08-31, 08:00:00",3.453,3.541,3.345,3.361,4102869.3
"2020-09-01, 08:00:00",3.361,3.613,3.300,3.523,6868990.9
"2020-09-02, 08:00:00",3.520,3.783,3.044,3.242,8406548.7
"2020-09-03, 08:00:00",3.242,3.304,2.155,2.390,9496889.0
"2020-09-04, 08:00:00",2.393,2.675,2.255,2.579,11876375.1
"2020-09-05, 08:00:00",2.580,2.661,2.224,2.346,7047790.4
"2020-09-06, 08:00:00",2.346,2.471,2.191,2.422,4948400.6
"2020-09-07, 08:00:00",2.422,2.531,2.233,2.410,4305577.1
"2020-09-08, 08:00:00",2.412,2.509,2.253,2.358,4435362.2
"2020-09-09, 08:00:00",2.358,2.535,2.279,2.441,3149228.6
"2020-09-10, 08:00:00",2.440,2.653,2.437,2.623,3761385.6
"2020-09-11, 08:00:00",2.622,2.827,2.499,2.817,5028556.1
"2020-09-12, 08:00:00",2.817,2.942,2.732,2.856,5116567.6
"2020-09-13, 08:00:00",2.855,2.880,2.545,2.651,3874366.2
"2020-09-14, 08:00:00",2.651,2.744,2.551,2.640,3291463.6
"2020-09-15, 08:00:00",2.640,2.689,2.425,2.466,3017164.0
"2020-09-16, 08:00:00",2.465,2.603,2.360,2.450,4084133.7
"2020-09-17, 08:00:00",2.450,2.621,2.413,2.568,3102172.3
"2020-09-18, 08:00:00",2.569,2.933,2.520,2.806,10500098.4
"2020-09-19, 08:00:00",2.808,2.808,2.602,2.633,4354250.0
"2020-09-20, 08:00:00",2.634,2.658,2.434,2.521,3193653.6
"2020-09-21, 08:00:00",2.521,2.622,2.192,2.259,6115246.3
"2020-09-22, 08:00:00",2.263,2.343,2.174,2.342,4279537.6
"2020-09-23, 08:00:00",2.341,2.370,2.164,2.177,3706207.8
"2020-09-24, 08:00:00",2.178,2.349,2.141,2.319,3230036.4
"2020-09-25, 08:00:00",2.319,2.415,2.231,2.363,3258210.5
"2020-09-26, 08:00:00",2.362,2.422,2.320,2.400,2478682.6
"2020-09-27, 08:00:00",2.401,2.453,2.306,2.373,2129739.2
"2020-09-28, 08:00:00",2.373,2.587,2.371,2.426,3636377.2
